NOAA/NOS/CO-OPS
Disclaimer: These data are based upon the latest information available as of the date of your request, and may differ from the published tide tables.
Daily Tide Predictions
StationName: San Francisco
State: CA
Stationid: 9414290
Prediction Type: Harmonic
From: 20220101 03:04 - 20220131 17:01
Units: Feet
Time Zone: LST_LDT
Datum: MLLW
Interval Type: High/Low

Date 		Day	Time	Pred	High/Low
2022/01/01	Sat	03:04	3.01	L
2022/01/01	Sat	09:21	7.13	H
2022/01/01	Sat	16:25	-1.61	L
2022/01/01	Sat	23:47	4.99	H
2022/01/02	Sun	03:59	3.07	L
2022/01/02	Sun	10:11	7.21	H
2022/01/02	Sun	17:13	-1.79	L
2022/01/03	Mon	00:35	5.13	H
2022/01/03	Mon	04:54	3.04	L
2022/01/03	Mon	11:02	7.13	H
2022/01/03	Mon	18:01	-1.76	L
2022/01/04	Tue	01:22	5.21	H
2022/01/04	Tue	05:50	2.94	L
2022/01/04	Tue	11:54	6.86	H
2022/01/04	Tue	18:49	-1.52	L
2022/01/05	Wed	02:07	5.26	H
2022/01/05	Wed	06:49	2.81	L
2022/01/05	Wed	12:47	6.40	H
2022/01/05	Wed	19:36	-1.11	L
2022/01/06	Thu	02:52	5.30	H
2022/01/06	Thu	07:52	2.66	L
2022/01/06	Thu	13:41	5.78	H
2022/01/06	Thu	20:22	-0.56	L
2022/01/07	Fri	03:37	5.36	H
2022/01/07	Fri	09:02	2.46	L
2022/01/07	Fri	14:40	5.08	H
2022/01/07	Fri	21:09	0.10	L
2022/01/08	Sat	04:22	5.44	H
2022/01/08	Sat	10:16	2.18	L
2022/01/08	Sat	15:49	4.39	H
2022/01/08	Sat	21:57	0.80	L
2022/01/09	Sun	05:06	5.54	H
2022/01/09	Sun	11:31	1.78	L
2022/01/09	Sun	17:13	3.87	H
2022/01/09	Sun	22:49	1.50	L
2022/01/10	Mon	05:49	5.64	H
2022/01/10	Mon	12:39	1.29	L
2022/01/10	Mon	18:51	3.68	H
2022/01/10	Mon	23:45	2.13	L
2022/01/11	Tue	06:31	5.74	H
2022/01/11	Tue	13:37	0.81	L
2022/01/11	Tue	20:22	3.83	H
2022/01/12	Wed	00:43	2.64	L
2022/01/12	Wed	07:11	5.83	H
2022/01/12	Wed	14:26	0.38	L
2022/01/12	Wed	21:31	4.11	H
2022/01/13	Thu	01:39	2.99	L
2022/01/13	Thu	07:51	5.93	H
2022/01/13	Thu	15:09	0.04	L
2022/01/13	Thu	22:24	4.38	H
2022/01/14	Fri	02:30	3.20	L
2022/01/14	Fri	08:30	6.02	H
2022/01/14	Fri	15:47	-0.21	L
2022/01/14	Fri	23:07	4.56	H
2022/01/15	Sat	03:16	3.29	L
2022/01/15	Sat	09:09	6.09	H
2022/01/15	Sat	16:22	-0.40	L
2022/01/15	Sat	23:44	4.66	H
2022/01/16	Sun	03:56	3.28	L
2022/01/16	Sun	09:47	6.15	H
2022/01/16	Sun	16:55	-0.53	L
2022/01/17	Mon	00:17	4.71	H
2022/01/17	Mon	04:34	3.22	L
2022/01/17	Mon	10:25	6.17	H
2022/01/17	Mon	17:27	-0.62	L
2022/01/18	Tue	00:48	4.73	H
2022/01/18	Tue	05:10	3.13	L
2022/01/18	Tue	11:02	6.13	H
2022/01/18	Tue	17:59	-0.66	L
2022/01/19	Wed	01:18	4.76	H
2022/01/19	Wed	05:46	3.01	L
2022/01/19	Wed	11:40	6.01	H
2022/01/19	Wed	18:30	-0.63	L
2022/01/20	Thu	01:47	4.82	H
2022/01/20	Thu	06:25	2.86	L
2022/01/20	Thu	12:18	5.79	H
2022/01/20	Thu	19:02	-0.48	L
2022/01/21	Fri	02:18	4.91	H
2022/01/21	Fri	07:09	2.69	L
2022/01/21	Fri	13:00	5.45	H
2022/01/21	Fri	19:36	-0.19	L
2022/01/22	Sat	02:50	5.04	H
2022/01/22	Sat	08:00	2.46	L
2022/01/22	Sat	13:47	5.00	H
2022/01/22	Sat	20:12	0.26	L
2022/01/23	Sun	03:23	5.22	H
2022/01/23	Sun	09:00	2.16	L
2022/01/23	Sun	14:45	4.48	H
2022/01/23	Sun	20:52	0.86	L
2022/01/24	Mon	04:00	5.44	H
2022/01/24	Mon	10:08	1.74	L
2022/01/24	Mon	16:03	3.97	H
2022/01/24	Mon	21:38	1.54	L
2022/01/25	Tue	04:42	5.69	H
2022/01/25	Tue	11:22	1.19	L
2022/01/25	Tue	17:45	3.69	H
2022/01/25	Tue	22:33	2.21	L
2022/01/26	Wed	05:29	5.96	H
2022/01/26	Wed	12:32	0.54	L
2022/01/26	Wed	19:33	3.79	H
2022/01/26	Wed	23:40	2.76	L
2022/01/27	Thu	06:22	6.24	H
2022/01/27	Thu	13:36	-0.13	L
2022/01/27	Thu	20:57	4.15	H
2022/01/28	Fri	00:52	3.09	L
2022/01/28	Fri	07:19	6.52	H
2022/01/28	Fri	14:33	-0.73	L
2022/01/28	Fri	21:58	4.53	H
2022/01/29	Sat	02:00	3.17	L
2022/01/29	Sat	08:16	6.77	H
2022/01/29	Sat	15:25	-1.18	L
2022/01/29	Sat	22:47	4.83	H
2022/01/30	Sun	03:01	3.06	L
2022/01/30	Sun	09:12	6.94	H
2022/01/30	Sun	16:14	-1.44	L
2022/01/30	Sun	23:31	5.05	H
2022/01/31	Mon	03:57	2.83	L
2022/01/31	Mon	10:05	6.98	H
2022/01/31	Mon	17:01	-1.52	L
